kelompok,skor_nyeri
Kontrol,6.91
Kontrol,7.49
Kontrol,6.9
Kontrol,4.94
Kontrol,7.59
Kontrol,7.04
Kontrol,5.86
Kontrol,7.2
Kontrol,6.94
Kontrol,6.85
Kontrol,6.53
Kontrol,7.16
Kontrol,5.62
Kontrol,6.3
Kontrol,5.92
Kontrol,7.22
Kontrol,6.55
Kontrol,6.15
Kontrol,5.56
Kontrol,6.19
Perlakuan,4.81
Perlakuan,4.44
Perlakuan,6.48
Perlakuan,6.11
Perlakuan,1.28
Perlakuan,2.34
Perlakuan,4.57
Perlakuan,4.25
Perlakuan,5.08
Perlakuan,5.08
Perlakuan,7.55
Perlakuan,3.35
Perlakuan,4.31
Perlakuan,7.46
Perlakuan,5.64
Perlakuan,5.66
Perlakuan,4.13
Perlakuan,2.66
Perlakuan,5.02
Perlakuan,4.94
