kelompok,skor_nyeri
Kontrol,13.27
Kontrol,4.4
Kontrol,3.7
Kontrol,3.82
Kontrol,5.5
Kontrol,3.59
Kontrol,2.81
Kontrol,5.08
Kontrol,6.33
Kontrol,4.43
Kontrol,8.72
Kontrol,2.45
Kontrol,3.03
Kontrol,2.38
Kontrol,2.08
Kontrol,3.85
Kontrol,4.62
Kontrol,8.3
Kontrol,4.11
Kontrol,2.65
Perlakuan,4.87
Perlakuan,5.15
Perlakuan,3.52
Perlakuan,3.36
Perlakuan,5.06
Perlakuan,4.19
Perlakuan,5.11
Perlakuan,5.79
Perlakuan,2.66
Perlakuan,5.13
Perlakuan,6.39
Perlakuan,4.41
Perlakuan,3.75
Perlakuan,5.78
Perlakuan,5.13
Perlakuan,5.96
Perlakuan,4.35
Perlakuan,2.87
Perlakuan,4.66
Perlakuan,4.22
